2024-04-26 09:18:58,482 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:19:02,493 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:19:14,672 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:19:18,685 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:19:30,615 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:19:34,631 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:20:31,735 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:20:35,745 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:20:47,567 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:20:51,609 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:21:03,484 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:21:07,495 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:21:19,212 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:21:23,549 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:21:35,469 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:21:39,482 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:22:30,876 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:22:34,891 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:22:46,844 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:22:50,862 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:23:03,074 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:23:07,100 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:23:19,282 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:23:23,292 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:23:35,096 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:23:39,103 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:24:30,415 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:24:34,432 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:24:46,230 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
2024-04-26 09:24:50,236 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 4 seconds...
2024-04-26 09:25:02,236 - retry.api - WARN - {'code': 1010, 'message': 'Invalid Transaction', 'data': 'Transaction call is not expected'}, retrying in 2 seconds...
